,NAME,RA,DEC,VMAG,DIST
278,Wolf 1481,218.57,-12.52,11.32,20.50
280,HD 79210 A,138.60,52.69,7.64,20.52
281,HD 79210 B,138.60,52.69,7.70,20.52
283,Wolf 562,229.86,-7.72,10.55,20.56
284,Wolf 562 b,229.86,-7.72,,20.56
285,Wolf 562 c,229.86,-7.72,,20.56
286,Wolf 562 d,229.86,-7.72,,20.56
287,Wolf 562 e,229.86,-7.72,,20.56
289,SDSS J150319.64+252522.4,225.83,25.42,,20.75
291,LP 368-128,135.10,21.83,16.10,20.79
293,Luyten 471-42,189.71,-38.38,12.75,20.80
295,HD 155876 A,258.03,45.67,9.93,20.87
296,HD 155876 B,258.03,45.67,10.35,20.87
298,LP 658-2,88.79,-4.17,14.47,20.90
300,GJ 3959,247.83,40.86,14.76,20.91
302,LP 944-20,54.90,-35.43,18.69,20.92
